"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"IT-402-974-P00000974 - AWARD",Contract,"West Berkshire",Awarded,2023-10-10T14:38:59+01:00,"West Berkshire Adult Advocacy Services - AWARD","The Council is tendering a contract for West Berkshire Adult Advocacy Services in two lots:
      
      Lot 1: Healthwatch, NHS Complaints, Learning Disability Partnership Board (LDPB).
      Lot 2: Independent Mental Capacity Advocate (IMCA), including Relevant Person's Paid Representative (RPPR), Independent Mental Health Advocate (IMHA), Safeguarding advocacy and Care Act advocacy
      
      Lot 1
      The Healthwatch Service for West Berkshire will be the independent consumer champion for patients, all those using health and social care services and carers, as well as the wider public, ensuring that the views and feedback from patients, Service Users and carers are an integral part of local commissioning across health and social care. 
      The work of Healthwatch services in West Berkshire will help to achieve the nationally stated aims of ensuring: 
      o People are at the heart of all health and social care services;
      o Health and social care outcomes in England are among the best in the world; and there is promotion of the joining up of local NHS services, social care and health improvement.
      For the purpose of describing the requirements and desired outcomes from the Healthwatch service in this service specification, 'people' and 'local people' refers to all residents in West Berkshire and includes:
      o Patients and users of health and social care services;
      o Carers (in their role as carers but also in their own right, about their own treatment / experience etc.); and
      o Temporary residents (including prisoners, holiday-makers, students, Gypsies and travellers, and children and young people on placement) within West Berkshire.
      
      NHS Complaints: the successful Tenderer will deliver services that meet the legal requirements for independent NHS complaints advocacy services as described in the Health and Social Care Act 2012 and any other regulations.
      Professional staff use advocacy skills to provide practical support and direction to Service Users in order to assist them in finding a resolution to their complaint. The service must:
      o Focus on empowering and assisting people to go through the NHS Complaints procedure;
      o Help safeguard the rights of Service Users as set out in both health policy and law;
      o Empower Service Users to self-advocate as far as they are able; and
      o Support Service Users to get their views heard.
      
      The West Berkshire Learning Disability Partnership Board (LDPB,) will facilitate and have genuine influence and achieve positive change in the lives of people with learning disabilities in West Berkshire. This service will also be responsible for monitoring grants for projects to a predetermined value that support people with a learning disability on behalf of the Learning Disability Partnership Board and West Berkshire Council Social Services.  
      
      Lot 2
      
      IMCA (including RPPR) will provide independent support to and represent any individual who is assessed as lacking the capacity to make dec...",,"RG14 5LD","South East","85310000 85000000 ","Karen Felgate",karen.felgate@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","'+441635 519586",,,,,01/10/2023,30/09/2028,26/04/2023,NO,,Yes,Yes,No,Services,2618832,2618832,07/07/2023,0,"[Swan Advocacy Network|Hi Point, Thomas Street, Taunton, Somerset, United Kingdom, TA2 6HB|NONE||No|No][The Advocacy People|Unit 2, 3rd Floor, Rock House, 49-51 Cambridge Road, Hastings, East Sussex, United Kingdom, TN34 1DT|NONE||No|No]",,01/10/2023,30/09/2028,"Open ",,17:00
"IT-78-400-CONSTDPS- cat1&4 - AWARD",Contract,"Westworks Procurement Ltd",Awarded,2022-07-19T15:26:54+01:00,"West Berkshire Council - Badger's Hill PRU 2 - AWARD","West Berkshire Council has undertaken a full review of the Reintegration Service and Alternative Curriculum Service and all of the properties currently used to deliver the service, including 6th form provision.  The review has identified the need to rationalise the number of facilities and it is recommended a replacement 12-16 place PRU be located in the East of the district.  
      
      The replacement premises will provide more space for general teaching, dedicated space for individual work or 1:1 teaching, and dedicated outside social space for recreation time.  Ideally the site will have access to outdoor sports (games court) and land for the development of vocational activities including horticulture.  
      
      West Berkshire Council intend to run a mini tender via the Westworks Development and Construction DPS (CONST2018) to appoint a contractor to construct the following: Demolition of existing and building of new storey replacement building and associated external works, at High View, Calcot, West Berkshire, RG31 4XD
      
      The works will be let as a JCT INTERMEDIATE CONTRACT 2011 WITH CONTRACTORS DESIGN
       
      The planning application drawings have been produced by Quattro Design  Architects, and these will form the basis of the tender drawings. 
      
      Panel members must respond to this EOI via the e-tendering system by 12.00 noon on 25th August 2021
      
      You are reminded that if you opt out you MUST provide a reason for doing so as this helps advise the client.",,"RG14 5LD","Any region","45000000 ","info@westworks.org.uk Westworks DPS",CF@westworks.org.uk,Newbury,Newbury,Newbury,"RG14 5LD","United Kingdom",,,,,,01/08/2022,30/04/2023,25/08/2021,NO,,No,No,No,Works,0,1739423,08/07/2022,0,"[Feltham Construction Ltd|42 London Road, Newbury, Berkshire, United Kingdom, RG14 1LA|NONE||No|No]",,01/08/2022,30/04/2023,"Restricted ",,12:00
P00000986,Contract,"West Berkshire Council",Awarded,2023-03-29T17:00:52+01:00,"Domestic Abuse Needs Assessment - West Berkshire Council","West Berkshire Council are seeking to award a contract for the following:

- Conducting a Local Needs Assessment refresh to support West Berkshire Council (the Council) in identifying the needs of victims within the area in respect of Domestic Abuse and more specifically Support within Safe Accommodation for victims of domestic abuse and their children

- Creating a new overarching Domestic Abuse Strategy 2023-27 combining the Council's existing Strategies and based on the findings from a robust needs assessment 

- Developing a new overarching Domestic Abuse action plan 2023-27 based on the Domestic Abuse Strategy 2023-27

Further details, including the Invitation to Quote, can be found here:

https://in-tendhost.co.uk/westberks/aspx/Home",,RG145LD,,"71317210 85000000 ","Chris Pathmadeva",chris.pathmadeva1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,"01635 503607",https://in-tendhost.co.uk/westberks/aspx/Home,,,,01/04/2023,30/09/2023,17/03/2023,NO,,Yes,Yes,No,Services,0,25000,28/03/2023,25000,"[Davis and Associates Consultancy Limited|96 Greenkeepers road, Great Denham, Bedford, MK40 4GJ|COMPANIES_HOUSE|12275219|Yes|No]",,01/04/2023,30/09/2023,"OpenNonOJEU ",,12:00
P00001196,Contract,"West Berkshire Council",Awarded,2023-09-18T14:19:29+01:00,"Sexual Health Training Services","The Council is seeking to commission an organisation that is suitably qualified to run sexual health and wellbeing workshops for:

1.	West Berkshire School Staff (this should be a mix of workshops for teachers and professionals working within West Berkshire secondary schools and for teachers and professionals working within West Berkshire primary schools);
2.	West Berkshire Council Staff (at least one workshop for professionals working with young people under age 25, e.g. Youth Offending Team workers, Substance Misuse workers or Social Care staff in Children and Family services); and
3.	Practitioners and Volunteers working with young people (at least one workshops for practitioners and volunteers working with young people in different settings e.g. Scouts, Guides, Youth clubs, Berkshire Youth, Thatcham Vision, Faith groups, Sports clubs, Young carers, Mencap etc.)

To view our Request for Quotation and the full specification, please register on our e-Procurement portal as per the following link:



https://in-tendhost.co.uk/westberks/aspx/Home",,"RG14 5LD",,"80000000 ","Kayan Ko",Kayan.Ko1@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,RG145LD,England,07341780509,,,,,15/09/2023,31/03/2027,06/09/2023,NO,,Yes,Yes,No,Services,0,17500,18/09/2023,17500,"[School of Sexuality Education Ltd|Collective Auction Rooms, 5-7 Buck Street, London, NW1 8NJ|COMPANIES_HOUSE|10625640|Yes|No]",,15/09/2023,31/03/2027,"OpenNonOJEU ",,12:00
"IT-402-1452-P00001452 - AWARD",Contract,"West Berkshire Council",Awarded,2024-11-07T07:09:17Z,"West Berkshire Council Streetworks Permit Scheme Year 9 evaluation, Traffic Sensitive Streets review and Lane Rental feasibility study - AWARD","WBC's Permit Scheme document is due for review to ensure that the Streetworks team structure and fee structure are suitable to cover the type and volume of works currently being undertaken on the highway network, and also that its contents are in accordance with current legislation. This review should identify whether the current Permit Scheme is meeting key performance indicators, undertake an assessment of the current financial position, previous financial assumptions, DfT Fees Matrix and staff requirements, current and potential income, resources and expenditure.
      In addition to the mandatory Year 9 Scheme review, this project should review the status of streets within WBC's Street Gazetteer to ensure that all meeting the relevant criteria are designated as Traffic Sensitive. An up to date traffic sensitive street network is crucial in identifying highly trafficked highways as works or activities in these streets are likely to be particularly disruptive to other road users, and this is especially important with the consideration of a Lane Rental Scheme in mind.
      This process should also investigate in depth the feasibility of West Berkshire Council adapting its Streetworks Permit Scheme to become a Lane Rental authority with a view to reducing the impact of works on the busiest roads at the busiest times, and should provide all of the necessary data for WBC to proceed with the implementation of a Lane Rental scheme, should it be considered viable.",,"RG14 5LD","Any region","71311210 ","Brian Lomas",brian.lomas@westberks.gov.uk,"Market Street",Newbury,"West Berkshire","RG14 5LD","United Kingdom","'+441635 503233",,,,,04/11/2024,31/03/2025,04/10/2024,NO,,No,No,No,Services,0,0,24/10/2024,24500,"[GeoPlace LLP|Fourth Floor North, 65 Goswell Road, London, United Kingdom, EC1V 7EN|NONE||No|No]",,04/11/2024,31/03/2025,"Restricted ",,16:00
P00000715,Contract,"West Berkshire Council",Awarded,2022-06-23T08:58:49+01:00,"Audio Visual Requirement - West Berkshire Council Corporate Offices","Supply and installation of audio visual equipment at West Berkshire Council corporate offices.",,"RG14 5LD",,"32321200 ","Vicki Murphy",vicki.murphy@westberks.gov.uk,"Council Office,Market Street",,NEWBURY,"RG14 5LD",England,"01635 519364",https://www.westberks.gov.uk/,,,,01/07/2022,30/09/2022,20/05/2022,NO,,Yes,No,No,Products,67828,,07/06/2022,67828,"[On-AV Ltd|Tring
Hertfordshire
HP23 4JL|COMPANIES_HOUSE|09009380|Yes|No]",,01/07/2022,30/09/2022,"Other Request for Quotation (closed procedure)",,12:00
"IT-402-1083-P00001083 - AWARD",Contract,"West Berkshire",Awarded,2024-06-18T09:30:31+01:00,"Refurbishment of  5 properties with safety certification and to a lettable standard as directed by West Berkshire Council - AWARD","To carry out all necessary refurbishment works and to issue Landlords safety certification on up to 5 newly acquired homes to bring them to a lettable standard as directed by West Berkshire Council",,"RG14 5LD","South East","50000000 50700000 ","Emma Craig",Emma.Craig1@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,07717172256,,,,,14/07/2023,31/03/2024,30/06/2023,NO,,Yes,No,No,Works,0,99000,18/07/2024,0,"[Berkshire Mechanical Services|Unit 28 Longshot Lane, Bracknell, Bracknell, United Kingdom, RG12 1RL|NONE||No|No]",,14/07/2023,31/03/2024,"Open ",,15:00
"IT-402-911-P00000911 - AWARD",Contract,"West Berkshire",Awarded,2023-06-27T10:05:38+01:00,"Fleet Vehicle and Maintenance Services for West Berkshire Council - AWARD","This tender relates to provision of the following services for West Berkshire Council's fleet vehicles.
      This includes maintenance, servicing, MOT and inspection services across the following lots:
      LOT 1  Class 5 vehicles 
      LOT 2  Small cars and vans 
      LOT 3 O licence vehicle 
      LOT 4 Plant (tractor) & trailers
      The full specification and required response details can be downloaded from In-tend.",,"RG14 5LD","South East","50111000 ","Vicki Murphy",Vicki.Murphy@westberks.gov.uk,"Market Street",Newbury,Newbury,"RG14 5LD",UK,"'+441635 519364",,,,,08/05/2023,07/05/2027,27/03/2023,NO,,Yes,No,No,Services,0,440000,27/06/2023,38567.08,"[EA Recovery & Contracting Services Ltd. T/A Station Tyres &a|Block A, Pipers Ind. Est., Pipers Way, Thatcham, Berkshire, United Kingdom, RG19 4NA|NONE||No|No]",,08/05/2023,07/05/2027,"Open ",,12:30
"West Berkshire Council Transport Dynamic Purchasing System (DPS) Ongoing awards July-Sept 2025",Contract,"West Berkshire Council",Awarded,2025-12-16T16:00:21Z,"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards July-Sept 2025","This relates to contracts awarded during the second quarter (July-Sept 2025) of this DPS for transport services. Applications can be made to the DPS during any point of its lifetime and details are available here https://intendhost.co.uk/westberks/aspx/Home",,,"South East","60100000 ",,procurement@westberks.gov.uk,"Council Office","Council Offices, Market Street",NEWBURY,RG145LD,England,,,,,,01/08/2025,31/07/2030,30/06/2025,NO,,Yes,Yes,No,Services,7674269.1,,07/07/2025,7674269.1,"[A Star Executive Cars|Access Self Storage 62 Portman Road, Room 59, Reading, England, RG30 1EA|COMPANIES_HOUSE|14996544|Yes|No][A1 Cars Reading|62 Portman Road, Office 36, Reading RG30 1EA|COMPANIES_HOUSE|7132400192|Yes|No][ABC Travel|Office 138 Regus Building, 400 Thames Valley Park Drive, Reading RG6 1PT|COMPANIES_HOUSE|10861375|Yes|No][Air Premier Cars Berkshire Ltd T/A Broadway Cars|Unit 1, Raceview Business Centre, Hambridge Road, Newbury, Berkshire, RG14 5SA|COMPANIES_HOUSE|8776442|Yes|No][Alanis Coach Travel|181 Cardiff Road, Reading RG1 8HD|COMPANIES_HOUSE|14461234|Yes|No][Andys Taxis|68 Derwent Road, Thatcham, Berkshire, RG19 9UR|NONE_SOLE_TRADER||Yes|No][Bluebird Passenger Services|24 Southend, Cold Ash, Thatcham, RG18 3BW|NONE_SOLE_TRADER||Yes|No][Comfi Cars UK Limited|200 Brook Drive, Regus Building, Reading RG2 6UB|COMPANIES_HOUSE|11314026|Yes|No][Compass Executive Cars|Unit G, Fronds Park, Frouds Lane, Aldermaston, Berkshire, RG7 4LH|COMPANIES_HOUSE|08274551|Yes|No][DJ Travel of Berkshire Ltd|30 Stephens Close, Mortimer, Reading, Berkshire, RG7 3TX|COMPANIES_HOUSE|06683216|Yes|No][FD Travels Ltd t/a School Express|3 Barrett Court, 70 Cardiff Road, Reading, United Kingdom, RG1 8ED|COMPANIES_HOUSE|084693784|Yes|No][Golden Aura Care|93 Ian Mikardo Way, Caversham, Reading, RG4 5DA|COMPANIES_HOUSE|14963438|Yes|No][Miracle Taxis LTD t/a Premier Cars|Unit 10a, The Portman Centre, 37 Loverock Road, Reading, RG30 1DZ|COMPANIES_HOUSE|2802320|Yes|No][Pottingers Hire Services|24 Northfields, Lambourn, Hungerford RG17 8YJ|NONE_SOLE_TRADER||Yes|No][Prompt Cars|Regus House, 400 Thames Valley Park Drive, RG6 1PT|COMPANIES_HOUSE|12588541|Yes|No][Southern Coach Lines Ltd T/A Aldermaston Coach Lines|Beenham Industrial Estate, Grnge Lane, Beenham, Reading, RG7 5PP|COMPANIES_HOUSE|11366175|Yes|No][Valley Cars|6 Riverway, Great Shefford, Hungerford, RG17 7HX|COMPANIES_HOUSE|929175202|Yes|No][Weavaway Travel Group Ltd|12 Pipers Industrial Estate, Thatcham, England, RG19 4NA|COMPANIES_HOUSE|06065092|Yes|No]",,01/08/2025,31/07/2030,"CallOffFromDynamicPurchasingSystem ",,17:00
"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Oct-Dec 2025",Contract,"West Berkshire Council",Awarded,2026-05-11T14:36:28+01:00,"West Berkshire Council Transport - Dynamic Purchasing System (DPS) ongoing awards Oct-Dec 2025","This relates to contracts awarded during the third quarter (October-December 2025) of this DPS for transport services. Applications can be made to the DPS during any point of its lifetime and details are available here https://intendhost.co.uk/westberks/aspx/Home",,,"South East","60100000 ",,procurement@westberks.gov.uk,"Council Office","Council Offices, Market Street",NEWBURY,RG145LD,England,,,,,,10/11/2025,31/07/2030,30/09/2025,NO,,Yes,Yes,No,Services,835770.75,,09/11/2025,835770.75,"[A1 Cars|14 Adwood Court, Thatcham, RG19 4ES|NONE_SOLE_TRADER||Yes|No][ABC Travel|Office 138 Regus Building, 400 Thames Valley Park Drive, Reading RG6 1PT|COMPANIES_HOUSE|10861375|Yes|No][Alanis Coach Travel|181 Cardiff Road, Reading RG1 8HD|COMPANIES_HOUSE|14461234|Yes|No][Bluebird Passenger Services|24 Southend, Cold Ash, Thatcham, RG18 3BW|NONE_SOLE_TRADER||Yes|No][Compass Executive Cars|Unit G, Fronds Park, Frouds Lane, Aldermaston, Berkshire, RG7 4LH|COMPANIES_HOUSE|08274551|Yes|No][DJ Travel of Berkshire Ltd|30 Stephens Close, Mortimer, Reading, Berkshire, RG7 3TX|COMPANIES_HOUSE|06683216|Yes|No][Elite Mini Coaches|Burghfield Farm Mill Road, Burghfield, Reading, Berkshire, England, RG30 3SS|COMPANIES_HOUSE|09538908|Yes|No][FD Travels Ltd t/a School Express|3 Barrett Court, 70 Cardiff Road, Reading, United Kingdom, RG1 8ED|COMPANIES_HOUSE|084693784|Yes|No][Golden Aura Care|93 Ian Mikardo Way, Caversham, Reading, RG4 5DA|COMPANIES_HOUSE|14963438|Yes|No][Penmar Transport|9 Churchside, East Isley, Newbury, berkshire, RG20 7LR|COMPANIES_HOUSE|06583606|Yes|No][Premier Cars|Unit 10a, The Portman Centre, 37 Loverock Road, Reading, RG30 1DZ|COMPANIES_HOUSE|2802320|Yes|No][Prompt Cars|Regus House, 400 Thames Valley Park Drive, RG6 1PT|COMPANIES_HOUSE|12588541|Yes|No]",,10/11/2025,31/07/2030,"CallOffFromDynamicPurchasingSystem ",,17:00
